0.4	0.4	0.4	0.4	0.44	0.2	0.2	0.2	0.2	0.4	0.25	0.25	0.25	0.22	0.22	0.2	0.2	0.22	0.22	0.22	0.22	0.22	0.22	0.22	0.22	0.22	0.22	0.22	0.22	0.22	0.22	0.22	0.22	0.22	0.22	
0.4	0.4	0.4	0.4	0.44	0.2	0.2	0.2	0.2	0.4	0.25	0.25	0.25	0.22	0.22	0.2	0.2	0.22	0.22	0.22	0.22	0.22	0.22	0.22	0.22	0.22	0.22	0.22	0.22	0.22	0.22	0.22	0.22	0.22	0.22	
0.4	0.4	0.4	0.4	0.44	0.2	0.2	0.2	0.2	0.4	0.25	0.25	0.25	0.22	0.22	0.2	0.2	0.22	0.22	0.22	0.22	0.22	0.22	0.22	0.22	0.22	0.22	0.22	0.22	0.22	0.22	0.22	0.22	0.22	0.22	
0.22	0.22	0.22	0.22	0.25	0.67	0.67	0.67	0.67	0.22	0.29	0.29	0.29	0.25	0.25	0.22	0.22	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	
0.44	0.44	0.44	0.44	0.5	0.22	0.22	0.22	0.22	0.44	0.29	0.29	0.29	0.25	0.25	0.22	0.22	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	
0.25	0.25	0.25	0.25	0.29	0.25	0.25	0.25	0.25	0.25	1	1	1	0.29	0.29	0.25	0.25	0.29	0.29	0.29	0.29	0.29	0.29	0.29	0.29	0.29	0.29	0.29	0.29	0.29	0.29	0.29	0.29	0.29	0.29	
0.25	0.25	0.25	0.25	0.29	0.25	0.25	0.25	0.25	0.25	1	1	1	0.29	0.29	0.25	0.25	0.29	0.29	0.29	0.29	0.29	0.29	0.29	0.29	0.29	0.29	0.29	0.29	0.29	0.29	0.29	0.29	0.29	0.29	
0.25	0.25	0.25	0.25	0.29	0.25	0.25	0.25	0.25	0.25	1	1	1	0.29	0.29	0.25	0.25	0.29	0.29	0.29	0.29	0.29	0.29	0.29	0.29	0.29	0.29	0.29	0.29	0.29	0.29	0.29	0.29	0.29	0.29	
0.22	0.22	0.22	0.22	0.25	0.22	0.22	0.22	0.22	0.22	0.29	0.29	0.29	0.5	0.5	0.22	0.22	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.5	0.25	0.25	0.25	0.25	0.5	0.25	0.25	
0.22	0.22	0.22	0.22	0.25	0.22	0.22	0.22	0.22	0.22	0.29	0.29	0.29	0.25	0.25	0.67	0.67	1	0.25	0.25	0.25	1	1	1	1	0.25	0.25	0.25	1	1	1	1	0.25	1	1	
0.25	0.25	0.25	0.25	0.29	0.25	0.25	0.25	0.25	0.25	1	1	1	0.29	0.29	0.25	0.25	0.29	0.29	0.29	0.29	0.29	0.29	0.29	0.29	0.29	0.29	0.29	0.29	0.29	0.29	0.29	0.29	0.29	0.29	
0.2	0.2	0.2	0.2	0.22	0.2	0.2	0.2	0.2	0.2	0.25	0.25	0.25	0.22	0.22	1	1	0.67	0.22	0.22	0.22	0.67	0.67	0.67	0.67	0.22	0.22	0.22	0.67	0.67	0.67	0.67	0.22	0.67	0.67	
0.25	0.25	0.25	0.25	0.29	0.25	0.25	0.25	0.25	0.25	1	1	1	0.29	0.29	0.25	0.25	0.29	0.29	0.29	0.29	0.29	0.29	0.29	0.29	0.29	0.29	0.29	0.29	0.29	0.29	0.29	0.29	0.29	0.29	
0.2	0.2	0.2	0.2	0.22	0.6	1	1	0.6	0.2	0.25	0.25	0.25	0.22	0.22	0.2	0.2	0.22	0.22	0.22	0.22	0.22	0.22	0.22	0.22	0.22	0.22	0.22	0.22	0.22	0.22	0.22	0.22	0.22	0.22	
0.22	0.22	0.22	0.22	0.25	0.22	0.22	0.22	0.22	0.22	0.29	0.29	0.29	0.25	0.25	0.22	0.22	0.25	1	1	1	0.25	0.25	0.25	0.25	1	1	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	
0.22	0.22	0.22	0.22	0.25	0.22	0.22	0.22	0.22	0.22	0.29	0.29	0.29	0.25	0.25	0.67	0.67	1	0.25	0.25	0.25	1	1	1	1	0.25	0.25	0.25	1	1	1	1	0.25	1	1	
0.25	0.25	0.25	0.25	0.29	0.25	0.25	0.25	0.25	0.25	0.33	0.33	0.33	0.29	0.29	0.25	0.25	0.29	0.29	0.29	0.29	0.29	0.29	0.29	0.29	0.29	0.29	0.29	0.29	0.29	0.29	0.29	0.29	0.29	0.29	
0.22	0.22	0.22	0.22	0.25	0.22	0.22	0.22	0.22	0.22	0.29	0.29	0.29	0.25	0.25	0.22	0.22	0.25	1	1	1	0.25	0.25	0.25	0.25	1	1	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	
0.4	0.4	0.4	0.4	0.44	0.2	0.2	0.2	0.2	0.4	0.25	0.25	0.25	0.22	0.22	0.2	0.2	0.22	0.22	0.22	0.22	0.22	0.22	0.22	0.22	0.22	0.22	0.22	0.22	0.22	0.22	0.22	0.22	0.22	0.22	
0.2	0.2	0.2	0.2	0.22	0.2	0.2	0.2	0.2	0.2	0.25	0.25	0.25	0.22	0.22	1	1	0.67	0.22	0.22	0.22	0.67	0.67	0.67	0.67	0.22	0.22	0.22	0.67	0.67	0.67	0.67	0.22	0.67	0.67	
0.22	0.22	0.22	0.22	0.25	0.22	0.22	0.22	0.22	0.22	0.29	0.29	0.29	0.25	0.25	0.22	0.22	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	
0.22	0.22	0.22	0.22	0.25	0.22	0.22	0.22	0.22	0.22	0.29	0.29	0.29	0.25	0.25	0.22	0.22	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	
0.22	0.22	0.22	0.22	0.25	0.22	0.22	0.22	0.22	0.22	0.29	0.29	0.29	0.25	0.25	0.22	0.22	0.25	1	1	1	0.25	0.25	0.25	0.25	1	1	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	
0.22	0.22	0.22	0.22	0.25	0.22	0.22	0.22	0.22	0.22	0.29	0.29	0.29	0.25	0.25	0.22	0.22	0.25	1	1	1	0.25	0.25	0.25	0.25	1	1	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	
0.22	0.22	0.22	0.22	0.25	0.67	0.67	0.67	0.67	0.22	0.29	0.29	0.29	0.25	0.25	0.22	0.22	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	
0.22	0.22	0.22	0.22	0.25	0.22	0.22	0.22	0.22	0.22	0.29	0.29	0.29	0.5	0.5	0.22	0.22	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.5	0.25	0.25	0.25	0.25	0.5	0.25	0.25	
0.67	0.67	0.67	0.67	1	0.22	0.22	0.22	0.22	0.67	0.29	0.29	0.29	0.25	0.25	0.22	0.22	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	
0.22	0.22	0.22	0.22	0.25	0.22	0.22	0.22	0.22	0.22	0.29	0.29	0.29	0.25	0.25	0.22	0.22	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	
0.4	0.4	0.4	0.4	0.44	0.2	0.2	0.2	0.2	0.4	0.25	0.25	0.25	0.22	0.22	0.2	0.2	0.22	0.22	0.22	0.22	0.22	0.22	0.22	0.22	0.22	0.22	0.22	0.22	0.22	0.22	0.22	0.22	0.22	0.22	
0.67	0.67	0.67	0.67	1	0.22	0.22	0.22	0.22	0.67	0.29	0.29	0.29	0.25	0.25	0.22	0.22	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	
0.22	0.22	0.22	0.22	0.25	0.22	0.22	0.22	0.22	0.22	0.29	0.29	0.29	1	1	0.22	0.22	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	1	0.25	0.25	0.25	0.25	1	0.25	0.25	
